Year,Denomination,Ministers,Congregations,Communicant Members,Presbyteries,Source
1782,Associated Reformed Church,14,20,1800,3,Manual of the UPCNA
1802,Associated Reformed Church,34,100,5250,7,Manual of the UPCNA
1819,Associated Reformed Church,72,145,8500,10,Manual of the UPCNA
1822,Associated Reformed Church,50,105,7000,6,Manual of the UPCNA
1854,Associated Reformed Church,207,374,26982,21,Manual of the UPCNA
1858,Associated Reformed Church,221,367,31284,28,Manual of the UPCNA
1959,EPC(BPC),69,164,5956,,ARDA
1962,EPC(BPC),69,169,6769,,ARDA
1937,OPC,,65,5000,,ARDA
1940,OPC,,64,5702,,ARDA
1942,OPC,,67,6245,,ARDA
1944,OPC,,74,7084,,ARDA
1946,OPC,,73,7555,,ARDA
1950,OPC,,72,8021,,ARDA
1953,OPC,97,71,8357,,ARDA
1954,OPC,101,72,8604,,ARDA
1955,OPC,110,72,8754,,ARDA
1956,OPC,120,80,9200,,ARDA
1957,OPC,123,80,9352,,ARDA
1960,OPC,137,90,10647,,ARDA
1961,OPC,138,92,11175,,ARDA
1962,OPC,146,95,11994,,ARDA
1964,OPC,148,108,12535,,ARDA
1965,OPC,150,110,12867,,ARDA
1968,OPC,170,130,14038,,ARDA
1969,OPC,180,131,14125,,ARDA
1970,OPC,190,116,14300,,ARDA
1971,OPC,190,116,14300,,ARDA
1972,OPC,205,123,14781,,ARDA
1976,OPC,229,131,15306,,ARDA
1977,OPC,237,133,15782,,ARDA
1978,OPC,238,136,15806,,ARDA
1979,OPC,256,146,16265,,ARDA
1980,OPC,272,150,16590,,ARDA
1981,OPC,288,157,17108,,ARDA
1983,OPC,298,166,17304,,ARDA
1984,OPC,309,168,17660,,ARDA
1985,OPC,319,171,18502,,ARDA
1987,OPC,334,168,19094,,ARDA
1991,OPC,315,170,18137,,ARDA
1994,OPC,341,181,20151,,ARDA
1995,OPC,355,189,21131,,ARDA
1996,OPC,366,192,21820,,ARDA
1997,OPC,376,198,21765,,ARDA
1998,OPC,383,199,23002,,ARDA
1999,OPC,397,204,25302,,ARDA
2000,OPC,406,216,26008,,ARDA
2001,OPC,416,224,26090,,ARDA
2002,OPC,425,237,26448,,ARDA
2003,OPC,437,241,27582,,ARDA
2005,OPC,449,255,27540,,ARDA
2006,OPC,462,255,28486,,ARDA
2007,OPC,464,263,28780,,ARDA
2008,OPC,477,268,29095,,ARDA
2009,OPC,485,271,29421,,ARDA
2010,OPC,494,269,29842,,ARDA
1973,PCA,196,260,41232,,ARDA
1975,PCA,397,394,67345,,ARDA
1976,PCA,457,405,68993,,ARDA
1977,PCA,531,428,73899,,ARDA
1978,PCA,584,440,82095,,ARDA
1979,PCA,668,460,86885,,ARDA
1980,PCA,728,487,90991,,ARDA
1981,PCA,1264,698,136582,,ARDA
1982,PCA,1415,797,149548,,ARDA
1983,PCA,1451,825,155988,,ARDA
